CAD Incident Number,Response Date,CAD Problem,Latitude,Longitude,Report Date,RMS Call Nature
BCSO200106-000693,1/6/2020,PARKIS-Abandoned/Parking,40.065843,-105.196950,1/6/2020,ABAN VEH
BCSO200108-001004,1/8/2020,PARKIS-Abandoned/Parking,40.066474,-105.197708,1/8/2020,ABAN VEH
BCSO200108-001004,1/8/2020,PARKIS-Abandoned/Parking,40.066474,-105.197708,1/8/2020,ABAN VEH
LYPD200131-004255,1/31/2020,PARKIS-Abandoned/Parking,40.219449,-105.265395,1/31/2020,ABAN VEH
BCSO200211-005750,2/11/2020,PECONS-Pedestrian Contact,40.015879,-105.186880,2/11/2020,ABAN VEH
LYPD200311-009705,3/11/2020,TRSTOS-Traffic Stop,40.227626,-105.269635,2/12/2020,ABAN VEH
BCSO200415-013164,4/15/2020,PARKIS-Abandoned/Parking,39.959655,-105.337957,4/15/2020,ABAN VEH
BCSO200509-015656,5/9/2020,SUSPIS-Suspicious,40.128894,-105.225265,5/9/2020,ABAN VEH
BCSO200703-023011,7/3/2020,PARKIS-Abandoned/Parking,40.059826,-105.163642,7/3/2020,ABAN VEH
BCSO200719-025448,7/19/2020,PARKIS-Abandoned/Parking,40.031910,-105.208926,7/19/2020,ABAN VEH
BCSO201121-041738,11/21/2020,TRSTOS-Traffic Stop,40.048823,-105.454015,11/21/2020,ABAN VEH
BCSO201206-043355,12/6/2020,TRSTOS-Traffic Stop,40.217716,-105.122182,12/6/2020,ABAN VEH
BCSO201230-045904,12/30/2020,PARKIS-Abandoned/Parking,39.950187,-105.581131,12/30/2020,ABAN VEH
BCSO200709-023996,7/9/2020,CRMISS-Criminal Mischief,40.159768,-105.150842,7/9/2020,ARSON
LOPD200924-010208,9/24/2020,CRMISS-Criminal Mischief,39.928835,-105.150223,9/24/2020,ARSON
BCSO201209-043777,12/9/2020,CRMISS-Criminal Mischief,40.159699,-105.075360,12/9/2020,ARSON
BCSO200119-002497,1/19/2020,ASSAUS-Assault,40.034394,-105.233819,1/19/2020,ASSAU FEL
BCSO200127-003496,1/27/2020,ASSAUS-Assault,40.034394,-105.233819,1/27/2020,ASSAU FEL
BCSO200202-004489,2/2/2020,ASSAUS-Assault,40.034394,-105.233819,2/2/2020,ASSAU FEL
BCSO200229-008127,2/29/2020,ASSAUS-Assault,40.034394,-105.233819,2/29/2020,ASSAU FEL
BCSO200305-008783,3/5/2020,ASSAUS-Assault,40.101695,-105.143498,3/5/2020,ASSAU FEL
SUPD200315-010187,3/15/2020,ASSAUS-Assault,39.932411,-105.137937,3/15/2020,ASSAU FEL
BCSO200316-010326,3/16/2020,ASSAUS-Assault,40.034394,-105.233819,3/16/2020,ASSAU FEL
BCSO200513-016055,5/13/2020,ASSAUS-Assault,40.080118,-105.335951,5/13/2020,ASSAU FEL
BCSO200529-018465,5/29/2020,NOISES-Noise,40.061080,-105.211670,5/29/2020,ASSAU FEL
BCSO200606-019635,6/6/2020,ASSAUS-Assault,40.034394,-105.233819,6/6/2020,ASSAU FEL
BCSO200613-020416,6/13/2020,INACCS-Injury/Rollover Acciden,40.004346,-105.074490,6/13/2020,ASSAU FEL
BCSO200615-020673,6/15/2020,ASSAUS-Assault,40.034394,-105.233819,6/15/2020,ASSAU FEL
BCSO200629-022455,6/29/2020,ASSAUS-Assault,40.034394,-105.233819,6/29/2020,ASSAU FEL
BCSO200707-023711,7/7/2020,ASSAUS-Assault,40.059536,-105.282129,7/7/2020,ASSAU FEL
LYPD200709-023965,7/9/2020,DISTUS-Disturbance,40.223580,-105.271638,7/9/2020,ASSAU FEL
BCSO200722-025827,7/22/2020,ASSAUS-Assault,40.014809,-105.235477,7/21/2020,ASSAU FEL
BCSO201115-041073,11/15/2020,ASSAUS-Assault,40.034394,-105.233819,11/14/2020,ASSAU FEL
BCSO200104-000509,1/4/2020,ASSAUS-Assault,39.937862,-105.581978,1/5/2020,ASSAU MIS
BCSO200106-000798,1/6/2020,ASSAUS-Assault,40.187561,-105.102297,1/7/2020,ASSAU MIS
BCSO200124-003060,1/24/2020,DISTUS-Disturbance,39.915255,-105.363246,1/24/2020,ASSAU MIS
BCSO200130-004079,1/30/2020,ASSAUS-Assault,40.023906,-105.224004,1/30/2020,ASSAU MIS
BCSO200202-004607,2/2/2020,DISTUS-Disturbance,39.949001,-105.240796,2/2/2020,ASSAU MIS
BCSO200205-004977,2/5/2020,ASSAUS-Assault,40.060850,-105.207781,2/5/2020,ASSAU MIS
BCSO200210-005684,2/10/2020,DISTUS-Disturbance,39.924146,-105.395068,2/10/2020,ASSAU MIS
LYPD200212-005966,2/12/2020,DISTUS-Disturbance,40.214792,-105.263763,2/12/2020,ASSAU MIS
BCSO200214-006287,2/14/2020,DISTUS-Disturbance,40.040621,-105.385381,2/14/2020,ASSAU MIS
BCSO200220-006998,2/20/2020,DISTUS-Disturbance,40.101695,-105.143498,2/20/2020,ASSAU MIS
BCSO200220-007001,2/20/2020,DISTUS-Disturbance,40.135711,-105.433764,2/20/2020,ASSAU MIS
BCSO200224-007479,2/24/2020,DISTUS-Disturbance,40.237505,-105.131137,2/24/2020,ASSAU MIS
BCSO200225-007580,2/25/2020,ASSAUS-Assault,40.034394,-105.233819,2/25/2020,ASSAU MIS
BCSO200313-009917,3/13/2020,ASSAUS-Assault,40.034394,-105.233819,3/13/2020,ASSAU MIS
BCSO200331-011716,3/31/2020,ASSAUS-Assault,40.034394,-105.233819,3/31/2020,ASSAU MIS
BCSO200423-013842,4/23/2020,ASSAUS-Assault,40.017335,-105.349003,4/23/2020,ASSAU MIS
BCSO200425-014106,4/25/2020,DISTUS-Disturbance,40.116450,-105.159715,4/25/2020,ASSAU MIS
BCSO200504-015048,5/4/2020,ASSAUS-Assault,40.034394,-105.233819,5/3/2020,ASSAU MIS
BCSO200517-016702,5/17/2020,ASSAUS-Assault,40.006827,-105.501549,5/17/2020,ASSAU MIS
BCSO200520-017071,5/20/2020,ASSAUS-Assault,40.101619,-105.165387,5/20/2020,ASSAU MIS
BCSO200525-017719,5/24/2020,ASSAUS-Assault,40.059354,-105.170987,5/25/2020,ASSAU MIS
BCSO200602-019006,6/2/2020,DISTUS-Disturbance,40.073095,-105.283901,6/2/2020,ASSAU MIS
BCSO200603-019212,6/3/2020,ASSAUS-Assault,39.946198,-105.513543,6/3/2020,ASSAU MIS
BCSO200603-019253,6/3/2020,DRUNKS-Drunk Person,39.986154,-105.202715,6/3/2020,ASSAU MIS
BCSO200606-019656,6/6/2020,DISTUS-Disturbance,40.174251,-105.187672,6/6/2020,ASSAU MIS
BCSO200612-020260,6/12/2020,DISTUS-Disturbance,40.207149,-105.139837,6/12/2020,ASSAU MIS
BCSO200701-022816,7/1/2020,INACCS-Injury/Rollover Acciden,40.171087,-105.469417,7/1/2020,ASSAU MIS
BCSO200704-023266,7/4/2020,DISTUS-Disturbance,39.925906,-105.395913,7/4/2020,ASSAU MIS
SUPD200710-024145,7/10/2020,DISTUS-Disturbance,39.956493,-105.176444,7/10/2020,ASSAU MIS
SUPD200711-024292,7/11/2020,DISTUS-Disturbance,39.939193,-105.141253,7/11/2020,ASSAU MIS
BCSO200726-026478,7/26/2020,ASSAUS-Assault,39.936815,-105.350286,7/26/2020,ASSAU MIS
BCSO200815-029302,8/15/2020,DISTUS-Disturbance,39.998702,-105.181194,8/15/2020,ASSAU MIS
LYPD200912-032949,9/12/2020,ASSAUS-Assault,40.231066,-105.280940,9/12/2020,ASSAU MIS
BCSO200912-033000,9/12/2020,ASSAUS-Assault,40.011677,-105.307369,9/12/2020,ASSAU MIS
BCSO200917-033654,9/17/2020,FOLLOS-Follow-Up,40.193742,-105.524431,9/17/2020,ASSAU MIS
BCSO200918-033857,9/18/2020,ASSAUS-Assault,40.087473,-105.102874,9/18/2020,ASSAU MIS
BCSO200924-034663,9/24/2020,ASSAUS-Assault,40.023906,-105.224004,9/23/2020,ASSAU MIS
BCSO200924-034698,9/24/2020,DISTUS-Disturbance,40.252769,-105.338309,9/24/2020,ASSAU MIS
BCSO200925-034833,9/25/2020,ASSAUS-Assault,40.059215,-105.161093,9/25/2020,ASSAU MIS
BCSO200926-035020,9/26/2020,DISTUS-Disturbance,40.062508,-105.173083,9/26/2020,ASSAU MIS
BCSO200927-035052,9/27/2020,ASSAUS-Assault,39.973517,-105.498910,9/27/2020,ASSAU MIS
BCSO200930-035415,9/30/2020,ASSAUS-Assault,39.919920,-105.236625,9/30/2020,ASSAU MIS
BCSO201008-036424,10/8/2020,ASSAUS-Assault,40.101695,-105.143498,10/5/2020,ASSAU MIS
BCSO201027-038745,10/27/2020,ASSAUS-Assault,40.103348,-105.214331,10/27/2020,ASSAU MIS
BCSO201030-039184,10/30/2020,DISTUS-Disturbance,40.029236,-105.225388,10/30/2020,ASSAU MIS
LAPD201102-017780,11/2/2020,DISTUS-Disturbance,39.991477,-105.071776,11/2/2020,ASSAU MIS
BCSO201109-040350,11/9/2020,ASSAUS-Assault,40.034394,-105.233819,11/9/2020,ASSAU MIS
BCSO201229-045726,12/29/2020,INACCS-Injury/Rollover Acciden,39.984948,-105.322050,12/29/2020,ASSAU MIS
BCSO200516-016480,5/16/2020,AUTHES-Auto Theft,40.011595,-105.137735,5/16/2020,AUTHE ATT
BCSO200101-000053,1/1/2020,FOLLOS-Follow-Up,40.070727,-105.194498,1/1/2020,AUTO THEFT
