CMSCertificationNumber (CCN),FacilityName,AddressLine1,AddressLine2,City,State,ZipCode,CountyName,PhoneNumber,CMSRegion,MeasureCode,Score,Footnote,StartDate,EndDate
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_CI_LOWER,0.95,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_CI_UPPER,3.883,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_COMP_PERF,No Different than National Benchmark,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_DOPC_DAYS,3760,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_ELIGCASES,3.912,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_NUMERATOR,8,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_SIR,2.045,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_CI_LOWER,0.379,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_CI_UPPER,2.874,,10/01/2018,09/30/2019
12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_COMP_PERF,No Different than National Benchmark,,10/01/2018,09/30/2019
