District Number,DistrictName,School Number,Name,"Level (E=Elementary, M=Middle, H=High)",Region,Rural Designation (2019),"Year on Accountability Clock (as of July 1, 2019)",Total_Percent_Points,Final_Rating _2019,"Year on Accountability Clock (as of December 11, 2019)",Notes (2010-2019)
1040,Academy 20,17,Academy Endeavour Elementary School,E,PIKES PEAK REGION,Not Rural,,75.5,Performance Plan: Low Participation,,
1040,Academy 20,19,Academy International Elementary School,E,PIKES PEAK REGION,Not Rural,,91.1,Performance Plan: Meets 95% Participation,,
1040,Academy 20,76,Air Academy High School,H,PIKES PEAK REGION,Not Rural,,74.4,Performance Plan: Meets 95% Participation,,
1040,Academy 20,249,Antelope Trails Elementary School,E,PIKES PEAK REGION,Not Rural,,74.7,Performance Plan: Low Participation,,
1040,Academy 20,209,Aspen Valley Campus,MH,PIKES PEAK REGION,Not Rural,,56.3,Performance Plan: Meets 95% Participation,,
1040,Academy 20,74,Challenger Middle School,M,PIKES PEAK REGION,Not Rural,,76.4,Performance Plan: Low Participation,,
1040,Academy 20,1615,Chinook Trail Elementary School,E,PIKES PEAK REGION,Not Rural,,83.1,Performance Plan: Meets 95% Participation,,
1040,Academy 20,1421,Chinook Trail Middle School,M,PIKES PEAK REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
1040,Academy 20,1929,Discovery Canyon Campus Elementary School,E,PIKES PEAK REGION,Not Rural,,65,Performance Plan: Meets 95% Participation,,2014 New school code overwritten with rating from Discovery Canyon Mlevel (2195)
1040,Academy 20,2195,Discovery Canyon Campus High School,H,PIKES PEAK REGION,Not Rural,,72.6,Performance Plan: Meets 95% Participation,,2014 Overwritten with rating from Discovery Canyon Hlevel (2195)
1040,Academy 20,1921,Discovery Canyon Campus Middle School,M,PIKES PEAK REGION,Not Rural,,89.1,Performance Plan: Meets 95% Participation,,2014 New school code overwritten with rating from Discovery Canyon Mlevel (2195)
1040,Academy 20,2248,Douglass Valley Elementary School,E,PIKES PEAK REGION,Not Rural,,66.7,Performance Plan: Meets 95% Participation,,
1040,Academy 20,2358,Eagleview Middle School,M,PIKES PEAK REGION,Not Rural,,68.5,Performance Plan: Low Participation,,
1040,Academy 20,2524,Edith Wolford Elementary School,E,PIKES PEAK REGION,Not Rural,,68.2,Performance Plan: Low Participation,,
1040,Academy 20,2800,Explorer Elementary School,E,PIKES PEAK REGION,Not Rural,,68,Performance Plan: Meets 95% Participation,,
1040,Academy 20,3104,Foothills Elementary School,E,PIKES PEAK REGION,Not Rural,,80.8,Performance Plan: Low Participation,,
1040,Academy 20,3238,Frontier Elementary School,E,PIKES PEAK REGION,Not Rural,,59.3,Performance Plan: Meets 95% Participation,,
1040,Academy 20,3985,High Plains Elementary School,E,PIKES PEAK REGION,Not Rural,,68.2,Performance Plan: Meets 95% Participation,,
1040,Academy 20,1901,Journey K8,EM,PIKES PEAK REGION,Not Rural,,61.7,Performance Plan: Low Participation,,"2010 New school, 2013 Denied request to reconsider"
1040,Academy 20,6247,Legacy Peak Elementary School,E,PIKES PEAK REGION,Not Rural,,50.6,Improvement Plan: Meets 95% Participation,,"2018 New school, deferred to district rating"
1040,Academy 20,5126,Liberty High School,H,PIKES PEAK REGION,Not Rural,,67.7,Performance Plan: Meets 95% Participation,,
1040,Academy 20,6140,Mountain Ridge Middle School,M,PIKES PEAK REGION,Not Rural,,61.6,Performance Plan: Low Participation,,
1040,Academy 20,6158,Mountain View Elementary School,E,PIKES PEAK REGION,Not Rural,,85.4,Performance Plan: Meets 95% Participation,,
1040,Academy 20,6242,New Summit Charter Academy,E,PIKES PEAK REGION,Not Rural,,48.5,Improvement Plan: Meets 95% Participation,,"2018 New school, deferred to district rating"
1040,Academy 20,6937,Pine Creek High School,H,PIKES PEAK REGION,Not Rural,,79.6,Performance Plan: Meets 95% Participation,,
1040,Academy 20,6960,Pioneer Elementary School,E,PIKES PEAK REGION,Not Rural,,85,Performance Plan: Meets 95% Participation,,
1040,Academy 20,7159,Prairie Hills Elementary School,E,PIKES PEAK REGION,Not Rural,,58.1,Performance Plan: Meets 95% Participation,,
1040,Academy 20,7240,Rampart High School,H,PIKES PEAK REGION,Not Rural,,75.7,Performance Plan: Low Participation,,2017 Approved request to reconsider
1040,Academy 20,7247,Ranch Creek Elementary,E,PIKES PEAK REGION,Not Rural,,82.4,Performance Plan: Meets 95% Participation,,
1040,Academy 20,7460,Rockrimmon Elementary School,E,PIKES PEAK REGION,Not Rural,,86.5,Performance Plan: Meets 95% Participation,,
1040,Academy 20,8779,TCA College Pathways,MH,PIKES PEAK REGION,Not Rural,,88.7,Performance Plan: Low Participation,,"2010  Insufficient state evidence, deferred to district rating"
1040,Academy 20,1627,The Classical Academy Charter,E,PIKES PEAK REGION,Not Rural,,71.3,Performance Plan: Low Participation,,
1040,Academy 20,1630,The Classical Academy High School,H,PIKES PEAK REGION,Not Rural,,90,Performance Plan: Meets 95% Participation,,
1040,Academy 20,1629,The Classical Academy Middle School,M,PIKES PEAK REGION,Not Rural,,66,Performance Plan: Low Participation,,2016 Approved request to reconsider
1040,Academy 20,8813,The Da Vinci Academy School,E,PIKES PEAK REGION,Not Rural,,62.3,Performance Plan: Meets 95% Participation,,
1040,Academy 20,8851,Timberview Middle School,M,PIKES PEAK REGION,Not Rural,,79.5,Performance Plan: Low Participation,,
1040,Academy 20,110,Village High School,H,PIKES PEAK REGION,Not Rural,,64.5,Performance Plan: Low Participation,,"2010  Insufficient state evidence, deferred to district rating; 2014, 2016, 2019 Approved request to reconsider"
1040,Academy 20,9714,Woodmen-Roberts Elementary School,E,PIKES PEAK REGION,Not Rural,,84.1,Performance Plan: Low Participation,,
20,Adams 12 Five Star Schools,301,Arapahoe Ridge Elementary School,E,METRO REGION,Not Rural,,73.3,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1388,Centennial Elementary School,E,METRO REGION,Not Rural,,56.1,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1480,Century Middle School,M,METRO REGION,Not Rural,,62.8,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2576,Cherry Drive Elementary School,E,METRO REGION,Not Rural,,55.9,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1878,Coronado Hills Elementary School,E,METRO REGION,Not Rural,,65.7,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1914,Cotton Creek Elementary School,E,METRO REGION,Not Rural,,66.8,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1937,Coyote Ridge Elementary School,E,METRO REGION,Not Rural,,76.6,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2361,Eagleview Elementary School,E,METRO REGION,Not Rural,,68.4,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2918,Federal Heights Elementary School,E,METRO REGION,Not Rural,Year 2,45.9,Improvement Plan: Meets 95% Participation,Year 2 On Watch,
20,Adams 12 Five Star Schools,14,Glacier Peak Elementary School,E,METRO REGION,Not Rural,,70.9,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,4000,Hillcrest Elementary School,E,METRO REGION,Not Rural,,55.5,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,4108,Horizon High School,H,METRO REGION,Not Rural,,69.4,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,4172,Hulstrom Options K-8 School,EM,METRO REGION,Not Rural,,78.8,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2580,Hunters Glen Elementary School,E,METRO REGION,Not Rural,,58.3,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,5043,Legacy High School,H,METRO REGION,Not Rural,,69.4,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,5058,Leroy Drive Elementary School,E,METRO REGION,Not Rural,,42.9,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,5418,Malley Drive Elementary School,E,METRO REGION,Not Rural,,57.1,Performance Plan: Meets 95% Participation,,2014 Approved request to reconsider
20,Adams 12 Five Star Schools,5706,McElwain Elementary School,E,METRO REGION,Not Rural,,49,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,59,Meridian Elementary School,E,METRO REGION,Not Rural,,89.1,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,6060,Mountain Range High School,H,METRO REGION,Not Rural,,57.2,Performance Plan: Low Participation,,
20,Adams 12 Five Star Schools,6150,Mountain View Elementary School,E,METRO REGION,Not Rural,,75.6,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,4699,New America School - Thornton,H,METRO REGION,Not Rural,,63.05,AEC: Performance Plan,,"2010 New school, deferred to district rating"
20,Adams 12 Five Star Schools,6355,North Mor Elementary School,E,METRO REGION,Not Rural,,62.7,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,6376,North Star Elementary School,E,METRO REGION,Not Rural,,59.6,Performance Plan: Meets 95% Participation,,2014 Denied request to reconsider
20,Adams 12 Five Star Schools,6402,Northglenn High School,H,METRO REGION,Not Rural,,53.9,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,6398,Northglenn Middle School,M,METRO REGION,Not Rural,,62.8,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,6956,Pathways Future Center,EMH,METRO REGION,Not Rural,,66.88,AEC: Performance Plan,,"2012 New school, deferred to district rating"
20,Adams 12 Five Star Schools,7155,Prairie Hills Elementary School,E,METRO REGION,Not Rural,,60.9,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,6802,Prospect Ridge Academy,EMH,METRO REGION,Not Rural,,88.5,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2584,Riverdale Elementary School,E,METRO REGION,Not Rural,,66.5,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2582,Rocky Mountain Elementary School,E,METRO REGION,Not Rural,,40,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
20,Adams 12 Five Star Schools,57,Rocky Top Middle School,M,METRO REGION,Not Rural,,79.9,Performance Plan: Low Participation,,
20,Adams 12 Five Star Schools,6342,Shadow Ridge Middle School,M,METRO REGION,Not Rural,,51.4,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,7795,Silver Creek Elementary,E,METRO REGION,Not Rural,,88.5,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,4187,Silver Hills Middle School,M,METRO REGION,Not Rural,,51.4,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2578,Skyview Elementary School,E,METRO REGION,Not Rural,,68.8,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,1519,Stargate Charter School,EMH,METRO REGION,Not Rural,,88.7,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,8225,Stellar Elementary School,E,METRO REGION,Not Rural,,57.2,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,8275,STEM Lab,EM,METRO REGION,Not Rural,,81.6,Performance Plan: Meets 95% Participation,,"2010 New school, deferred to district rating"
20,Adams 12 Five Star Schools,8310,STEM Launch,EM,METRO REGION,Not Rural,,60.1,Performance Plan: Meets 95% Participation,,"2012 New school, deferred to district rating"
20,Adams 12 Five Star Schools,8361,Stukey Elementary School,E,METRO REGION,Not Rural,,64.2,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,2410,Tarver Elementary School,E,METRO REGION,Not Rural,,86.3,Performance Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,5814,The International School at Thornton Middle,M,METRO REGION,Not Rural,Year 1,47,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,8211,The Studio School,E,METRO REGION,Not Rural,,48.5,Improvement Plan: Low Participation,,
20,Adams 12 Five Star Schools,8842,Thornton Elementary School,E,METRO REGION,Not Rural,,49.7,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,5816,Thornton High School,H,METRO REGION,Not Rural,,42.3,Improvement Plan: Meets 95% Participation,,
20,Adams 12 Five Star Schools,8814,Thunder Vista P-8,EM,METRO REGION,Not Rural,,92.5,Performance Plan: Meets 95% Participation,,"2018 New school, deferred to district rating"
